timestamp,TotalUptime,BootCounter,MCUTemp,Temperature,PhasingTemperature,AmplifierTemperature
2022-03-08T00:33:30Z,4490993,78,1.30000000000000007216449660063517512753605842590332031250,0E-56,10.10000000000000056066262743570405291393399238586425781250,0E-56
2022-02-28T00:47:57Z,3834868,11,2.70000000000000014988010832439613295719027519226074218750,1.40000000000000007771561172376095782965421676635742187500,9.80000000000000054400928206632670480757951736450195312500,0E-56
2022-02-26T12:34:33Z,3712005,119,13.20000000000000073274719625260331667959690093994140625000,11.90000000000000066058269965196814155206084251403808593750,20.40000000000000113242748511765967123210430145263671875000,0E-56
2022-02-26T12:33:33Z,3711945,119,12.30000000000000068278716014447127236053347587585449218750,11.40000000000000063282712403633922804147005081176757812500,19.30000000000000107136521876327606150880455970764160156250,0E-56
2022-02-26T12:32:33Z,3711885,119,11.90000000000000066058269965196814155206084251403808593750,10.40000000000000057731597280508140102028846740722656250000,19.60000000000000108801856413265340961515903472900390625000,0E-56
2022-02-25T01:27:09Z,3590600,76,2.00000000000000011102230246251565404236316680908203125000,0.40000000000000002220446049250313080847263336181640625000,10.10000000000000056066262743570405291393399238586425781250,0E-56
2022-02-25T01:26:09Z,3590540,76,1.10000000000000006106226635438360972329974174499511718750,0E-56,7.90000000000000043853809472693683346733450889587402343750,0E-56
2022-02-25T01:25:09Z,3590480,76,0.30000000000000001665334536937734810635447502136230468750,-0.90000000000000004996003610813204431906342506408691406250,7.90000000000000043853809472693683346733450889587402343750,0E-56
2022-02-24T13:00:26Z,3548181,50,11.50000000000000063837823915946501074358820915222167968750,10.90000000000000060507154842071031453087925910949707031250,18.90000000000000104916075827077293070033192634582519531250,0E-56
2022-02-24T12:57:26Z,3548001,50,9.90000000000000054956039718945248750969767570495605468750,8.40000000000000046629367034256574697792530059814453125000,18.30000000000000101585406753201823448762297630310058593750,0E-56
2022-02-24T12:55:26Z,3547881,50,7.90000000000000043853809472693683346733450889587402343750,7.00000000000000038857805861880478914827108383178710937500,16.10000000000000089372953482325101504102349281311035156250,0E-56
2022-02-23T12:28:32Z,3465152,159,6.30000000000000034972025275692431023344397544860839843750,4.40000000000000024424906541753443889319896697998046875000,-18.60000000000000103250741290139558259397745132446289062500,0E-56
2022-02-23T01:51:52Z,3428312,151,-0.20000000000000001110223024625156540423631668090820312500,-0.90000000000000004996003610813204431906342506408691406250,6.60000000000000036637359812630165833979845046997070312500,0E-56
2022-02-23T01:50:52Z,3428252,151,-1.00000000000000005551115123125782702118158340454101562500,-1.90000000000000010547118733938987134024500846862792968750,4.80000000000000026645352591003756970167160034179687500000,0E-56
2022-02-22T19:07:16Z,3405032,146,2.90000000000000016098233857064769836142659187316894531250,1.40000000000000007771561172376095782965421676635742187500,-21.70000000000000120459198171829484635964035987854003906250,0E-56
2022-02-22T19:06:16Z,3404972,146,3.90000000000000021649348980190552538260817527770996093750,2.40000000000000013322676295501878485083580017089843750000,-20.80000000000000115463194561016280204057693481445312500000,0E-56
2022-02-22T19:05:16Z,3404912,146,4.90000000000000027200464103316335240378975868225097656250,3.50000000000000019428902930940239457413554191589355468750,-19.80000000000000109912079437890497501939535140991210937500,0E-56
2022-02-22T19:04:16Z,3404852,146,5.70000000000000031641356201816961402073502540588378906250,3.90000000000000021649348980190552538260817527770996093750,-18.80000000000000104360964314764714799821376800537109375000,0E-56
2022-02-22T19:03:16Z,3404792,146,6.30000000000000034972025275692431023344397544860839843750,4.90000000000000027200464103316335240378975868225097656250,-17.80000000000000098809849191638932097703218460083007812500,0E-56
2022-02-22T19:02:16Z,3404732,146,7.40000000000000041078251911130791995674371719360351562500,5.90000000000000032751579226442117942497134208679199218750,-16.80000000000000093258734068513149395585060119628906250000,0E-56
2022-02-22T11:29:52Z,3377972,142,-1.20000000000000006661338147750939242541790008544921875000,-2.90000000000000016098233857064769836142659187316894531250,1.40000000000000007771561172376095782965421676635742187500,0E-56
2022-02-22T11:28:52Z,3377912,142,-1.90000000000000010547118733938987134024500846862792968750,-3.50000000000000019428902930940239457413554191589355468750,-0.40000000000000002220446049250313080847263336181640625000,0E-56
2022-02-22T11:27:52Z,3377852,142,-1.90000000000000010547118733938987134024500846862792968750,-3.90000000000000021649348980190552538260817527770996093750,-2.40000000000000013322676295501878485083580017089843750000,0E-56
2022-02-22T11:26:52Z,3377792,142,-2.90000000000000016098233857064769836142659187316894531250,-4.40000000000000024424906541753443889319896697998046875000,-4.20000000000000023314683517128287348896265029907226562500,0E-56
2022-02-22T11:24:52Z,3377672,142,-3.60000000000000019984014443252817727625370025634765625000,-4.90000000000000027200464103316335240378975868225097656250,-6.40000000000000035527136788005009293556213378906250000000,0E-56
2022-02-22T09:57:46Z,3372512,141,1.10000000000000006106226635438360972329974174499511718750,-0.40000000000000002220446049250313080847263336181640625000,5.40000000000000029976021664879226591438055038452148437500,0E-56
2022-02-22T09:56:46Z,3372452,141,-0.10000000000000000555111512312578270211815834045410156250,-0.90000000000000004996003610813204431906342506408691406250,3.60000000000000019984014443252817727625370025634765625000,0E-56
2022-02-22T09:55:46Z,3372392,141,-0.20000000000000001110223024625156540423631668090820312500,-1.90000000000000010547118733938987134024500846862792968750,3.10000000000000017208456881689926376566290855407714843750,0E-56
2022-02-22T09:54:46Z,3372332,141,-0.90000000000000004996003610813204431906342506408691406250,-2.40000000000000013322676295501878485083580017089843750000,1.80000000000000009992007221626408863812685012817382812500,0E-56
