timestamp,TotalUptime,bootcounter,MCUTemp,Temperature
2022-03-08T02:08:30Z,4462919,2,-1.90000000000000010547118733938987134024500846862792968750,0E-56
2022-03-08T02:07:30Z,4462860,2,-3.10000000000000017208456881689926376566290855407714843750,0E-56
2022-03-08T02:07:30Z,4462860,2,-3.10000000000000017208456881689926376566290855407714843750,0E-56
2022-03-07T00:51:04Z,4377780,101,-0.60000000000000003330669073875469621270895004272460937500,0E-56
2022-03-07T00:49:04Z,4377660,101,-1.80000000000000009992007221626408863812685012817382812500,0E-56
2022-03-07T00:49:04Z,4377660,101,-1.80000000000000009992007221626408863812685012817382812500,0E-56
2022-03-05T12:37:39Z,4253280,34,9.60000000000000053290705182007513940334320068359375000000,0E-56
2022-03-05T02:49:10Z,4219920,10,-4.60000000000000025535129566378600429743528366088867187500,0E-56
2022-02-28T00:47:55Z,3800640,143,-1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-02-28T00:46:55Z,3800580,143,-2.10000000000000011657341758564143674448132514953613281250,0E-56
2022-02-26T12:33:32Z,3677640,219,6.60000000000000036637359812630165833979845046997070312500,0E-56
2022-02-26T12:32:32Z,3677580,219,6.30000000000000034972025275692431023344397544860839843750,0E-56
2022-02-26T12:31:32Z,3677520,219,5.30000000000000029420910152566648321226239204406738281250,0E-56
2022-02-26T12:30:32Z,3677460,219,4.60000000000000025535129566378600429743528366088867187500,0E-56
2022-02-26T12:30:32Z,3677460,219,4.60000000000000025535129566378600429743528366088867187500,0E-56
2022-02-25T01:27:08Z,3556260,167,-2.20000000000000012212453270876721944659948348999023437500,0E-56
2022-02-25T01:25:08Z,3556140,167,-2.80000000000000015543122344752191565930843353271484375000,0E-56
2022-02-25T01:24:08Z,3556079,167,-3.50000000000000019428902930940239457413554191589355468750,0E-56
2022-02-25T01:24:08Z,3556079,167,-3.50000000000000019428902930940239457413554191589355468750,0E-56
2022-02-24T12:57:25Z,3513660,132,4.20000000000000023314683517128287348896265029907226562500,0E-56
2022-02-24T12:56:25Z,3513600,132,3.40000000000000018873791418627661187201738357543945312500,0E-56
2022-02-24T12:55:25Z,3513540,132,2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-24T12:55:25Z,3513540,132,2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-23T12:27:30Z,3430620,231,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-23T12:27:30Z,3430620,231,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-23T01:52:51Z,3393900,217,-2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-23T01:50:51Z,3393780,217,-4.30000000000000023869795029440865619108080863952636718750,0E-56
2022-02-22T19:07:14Z,3370560,208,1.30000000000000007216449660063517512753605842590332031250,0E-56
2022-02-22T19:06:14Z,3370500,208,2.00000000000000011102230246251565404236316680908203125000,0E-56
2022-02-22T19:05:14Z,3370440,208,3.20000000000000017763568394002504646778106689453125000000,0E-56
2022-02-22T19:04:14Z,3370379,208,3.90000000000000021649348980190552538260817527770996093750,0E-56
2022-02-22T19:03:14Z,3370320,208,4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-02-22T19:02:14Z,3370260,208,5.70000000000000031641356201816961402073502540588378906250,0E-56
2022-02-22T11:29:51Z,3343500,204,-3.50000000000000019428902930940239457413554191589355468750,0E-56
2022-02-22T11:28:51Z,3343440,204,-3.60000000000000019984014443252817727625370025634765625000,0E-56
2022-02-22T11:27:51Z,3343380,204,-4.30000000000000023869795029440865619108080863952636718750,0E-56
2022-02-22T11:26:51Z,3343320,204,-4.20000000000000023314683517128287348896265029907226562500,0E-56
2022-02-22T11:25:50Z,3343259,204,-4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-22T11:24:51Z,3343200,204,-4.60000000000000025535129566378600429743528366088867187500,0E-56
2022-02-22T09:56:44Z,3337980,203,-2.50000000000000013877787807814456755295395851135253906250,0E-56
2022-02-22T09:55:44Z,3337920,203,-3.20000000000000017763568394002504646778106689453125000000,0E-56
2022-02-22T09:54:44Z,3337860,203,-3.40000000000000018873791418627661187201738357543945312500,0E-56
2022-02-22T09:53:44Z,3337800,203,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-22T09:52:44Z,3337740,203,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-22T08:18:38Z,3332100,202,-3.70000000000000020539125955565395997837185859680175781250,0E-56
2022-02-22T08:17:38Z,3332040,202,-4.30000000000000023869795029440865619108080863952636718750,0E-56
2022-02-22T08:16:38Z,3331980,202,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-22T02:03:08Z,3309780,198,-2.80000000000000015543122344752191565930843353271484375000,0E-56
2022-02-22T02:03:08Z,3309780,198,-2.80000000000000015543122344752191565930843353271484375000,0E-56
2022-02-21T20:57:43Z,3291780,194,0.30000000000000001665334536937734810635447502136230468750,0E-56
2022-02-21T20:56:43Z,3291720,194,1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-21T20:55:43Z,3291660,194,2.20000000000000012212453270876721944659948348999023437500,0E-56
2022-02-21T20:54:43Z,3291600,194,2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-21T20:53:43Z,3291539,194,3.50000000000000019428902930940239457413554191589355468750,0E-56
2022-02-21T20:52:43Z,3291480,194,5.10000000000000028310687127941491780802607536315917968750,0E-56
2022-02-21T20:51:43Z,3291419,194,5.30000000000000029420910152566648321226239204406738281250,0E-56
2022-02-21T19:22:35Z,3286079,193,1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-02-21T19:21:35Z,3286020,193,1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-21T19:18:35Z,3285840,193,4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-02-21T19:17:35Z,3285780,193,5.20000000000000028865798640254070051014423370361328125000,0E-56
2022-02-21T19:16:35Z,3285720,193,6.10000000000000033861802251067274482920765876770019531250,0E-56
2022-02-21T19:15:35Z,3285660,193,6.60000000000000036637359812630165833979845046997070312500,0E-56
2022-02-21T17:48:24Z,3280440,192,0.30000000000000001665334536937734810635447502136230468750,0E-56
2022-02-21T17:47:24Z,3280380,192,1.10000000000000006106226635438360972329974174499511718750,0E-56
2022-02-21T17:46:24Z,3280320,192,1.50000000000000008326672684688674053177237510681152343750,0E-56
2022-02-21T17:45:24Z,3280260,192,3.00000000000000016653345369377348106354475021362304687500,0E-56
2022-02-21T17:44:24Z,3280200,192,4.00000000000000022204460492503130808472633361816406250000,0E-56
2022-02-21T16:35:24Z,3276060,192,0.70000000000000003885780586188047891482710838317871093750,0E-56
2022-02-21T12:05:12Z,3259920,190,10.00000000000000055511151231257827021181583404541015625000,0E-56
2022-02-21T12:04:12Z,3259860,190,9.80000000000000054400928206632670480757951736450195312500,0E-56
2022-02-21T12:02:12Z,3259740,190,8.20000000000000045519144009631418157368898391723632812500,0E-56
2022-02-21T12:01:12Z,3259680,190,7.70000000000000042743586448068526806309819221496582031250,0E-56
2022-02-21T11:42:12Z,3258540,190,-3.00000000000000016653345369377348106354475021362304687500,0E-56
2022-02-21T11:41:12Z,3258480,190,-4.00000000000000022204460492503130808472633361816406250000,0E-56
2022-02-21T11:40:12Z,3258420,190,-4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-02-21T11:39:12Z,3258360,190,-4.00000000000000022204460492503130808472633361816406250000,0E-56
2022-02-21T10:12:03Z,3253140,189,-1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-02-21T10:11:03Z,3253080,189,-1.60000000000000008881784197001252323389053344726562500000,0E-56
2022-02-21T10:06:05Z,3252780,189,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-21T10:05:05Z,3252720,189,-4.00000000000000022204460492503130808472633361816406250000,0E-56
2022-02-21T06:59:49Z,3241620,187,-2.20000000000000012212453270876721944659948348999023437500,0E-56
2022-02-21T06:58:49Z,3241560,187,-3.30000000000000018318679906315082916989922523498535156250,0E-56
2022-02-20T21:09:02Z,3206940,178,1.00000000000000005551115123125782702118158340454101562500,0E-56
2022-02-20T21:08:02Z,3206880,178,1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-20T21:07:02Z,3206819,178,2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-20T21:06:02Z,3206760,178,3.60000000000000019984014443252817727625370025634765625000,0E-56
2022-02-20T12:20:27Z,3175980,172,9.30000000000000051625370645069779129698872566223144531250,0E-56
2022-02-20T12:16:28Z,3175740,172,6.90000000000000038302694349567900644615292549133300781250,0E-56
2022-02-20T12:15:28Z,3175680,172,6.00000000000000033306690738754696212708950042724609375000,0E-56
2022-02-20T12:14:27Z,3175619,172,5.30000000000000029420910152566648321226239204406738281250,0E-56
2022-02-20T12:13:28Z,3175560,172,4.20000000000000023314683517128287348896265029907226562500,0E-56
2022-02-20T12:13:28Z,3175560,172,4.20000000000000023314683517128287348896265029907226562500,0E-56
2022-02-20T11:53:27Z,3174360,172,-5.90000000000000032751579226442117942497134208679199218750,0E-56
2022-02-19T10:29:49Z,3087060,92,-6.10000000000000033861802251067274482920765876770019531250,0E-56
2022-02-18T21:34:49Z,3042960,255,1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-18T20:05:39Z,3037620,245,-4.80000000000000026645352591003756970167160034179687500000,0E-56
2022-02-18T12:44:12Z,3012600,196,6.60000000000000036637359812630165833979845046997070312500,0E-56
2022-02-18T12:43:12Z,3012540,196,6.30000000000000034972025275692431023344397544860839843750,0E-56
2022-02-18T12:42:12Z,3012480,196,5.30000000000000029420910152566648321226239204406738281250,0E-56
2022-02-18T12:41:13Z,3012419,196,4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-02-18T10:49:00Z,3005940,187,-4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-18T09:16:53Z,3000600,181,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-18T07:40:47Z,2995020,176,-4.50000000000000024980018054066022159531712532043457031250,0E-56
2022-02-17T18:43:48Z,2950200,147,-4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-02-17T18:37:44Z,2950080,145,1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-17T11:01:15Z,2923560,126,-4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-17T10:59:15Z,2923440,126,-5.50000000000000030531133177191804861649870872497558593750,0E-56
2022-02-17T10:57:15Z,2923320,126,-5.80000000000000032196467714129539672285318374633789062500,0E-56
2022-02-17T07:55:59Z,2912700,124,-2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-17T07:53:59Z,2912580,124,-4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-02-17T07:52:59Z,2912520,124,-4.10000000000000022759572004815709078684449195861816406250,0E-56
2022-02-17T07:51:59Z,2912460,124,-4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-17T07:49:59Z,2912340,124,-5.50000000000000030531133177191804861649870872497558593750,0E-56
2022-02-16T20:26:04Z,2872740,108,1.10000000000000006106226635438360972329974174499511718750,0E-56
2022-02-16T20:25:04Z,2872680,108,2.40000000000000013322676295501878485083580017089843750000,0E-56
2022-02-16T20:24:04Z,2872620,108,3.10000000000000017208456881689926376566290855407714843750,0E-56
2022-02-16T20:23:04Z,2872560,108,4.00000000000000022204460492503130808472633361816406250000,0E-56
2022-02-16T20:22:05Z,2872500,108,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-16T13:11:41Z,2847659,89,7.70000000000000042743586448068526806309819221496582031250,0E-56
2022-02-16T13:09:41Z,2847540,89,6.20000000000000034416913763379852753132581710815429687500,0E-56
2022-02-16T13:08:41Z,2847480,89,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-16T13:08:41Z,2847480,89,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-16T13:08:41Z,2847480,89,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-16T01:49:56Z,2808240,41,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-16T01:47:56Z,2808120,41,-5.00000000000000027755575615628913510590791702270507812500,0E-56
2022-02-15T12:44:30Z,2763480,169,4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-15T12:44:30Z,2763480,169,4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-14T12:01:57Z,2678940,217,7.00000000000000038857805861880478914827108383178710937500,0E-56
2022-02-14T11:59:57Z,2678819,217,5.00000000000000027755575615628913510590791702270507812500,0E-56
2022-02-14T11:58:57Z,2678760,217,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-14T11:58:57Z,2678760,217,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-13T00:53:22Z,2554560,191,-1.00000000000000005551115123125782702118158340454101562500,0E-56
