timestamp,TotalUptime,PanelYpTemperature,PanelYmTemperature,PanelXpTemperature,PanelXmTemperature,BatteryGGTemperature,MCUTemp
2022-02-22T19:07:15Z,3505740,-25.30000000000000140443212615082302363589406013488769531250,-25.10000000000000139332989590457145823165774345397949218750,-26.30000000000000145994327738208085065707564353942871093750,-20.80000000000000115463194561016280204057693481445312500000,-4.20000000000000023314683517128287348896265029907226562500,-11.50000000000000063837823915946501074358820915222167968750
2022-02-22T19:06:15Z,3505680,-24.40000000000000135447209004269097931683063507080078125000,-24.20000000000000134336985979643941391259431838989257812500,-25.30000000000000140443212615082302363589406013488769531250,-19.90000000000000110467190950203075772151350975036621093750,-3.60000000000000019984014443252817727625370025634765625000,-11.10000000000000061617377866696187993511557579040527343750
2022-02-22T19:05:15Z,3505620,-23.60000000000000131006316905768471769988536834716796875000,-23.30000000000000129340982368830736959353089332580566406250,-24.40000000000000135447209004269097931683063507080078125000,-19.10000000000000106026298851702449610456824302673339843750,-3.00000000000000016653345369377348106354475021362304687500,-10.20000000000000056621374255882983561605215072631835937500
2022-02-22T19:04:15Z,3505560,-22.60000000000000125455201782642689067870378494262695312500,-22.30000000000000123789867245704954257234930992126464843750,-23.40000000000000129896093881143315229564905166625976562500,-18.30000000000000101585406753201823448762297630310058593750,-1.90000000000000010547118733938987134024500846862792968750,-9.40000000000000052180482157382357399910688400268554687500
2022-02-22T19:03:15Z,3505500,-21.60000000000000119904086659516906365752220153808593750000,-21.30000000000000118238752122579171555116772651672363281250,-22.40000000000000124344978758017532527446746826171875000000,-17.40000000000000096589403142388619016855955123901367187500,-1.30000000000000007216449660063517512753605842590332031250,-8.50000000000000047184478546569152968004345893859863281250
2022-02-22T19:02:15Z,3505440,-20.70000000000000114908083048703701933845877647399902343750,-20.30000000000000112687636999453388852998614311218261718750,-21.40000000000000118793863634891749825328588485717773437500,-16.40000000000000091038288019262836314737796783447265625000,-0.70000000000000003885780586188047891482710838317871093750,-8.20000000000000045519144009631418157368898391723632812500
2022-02-22T11:28:51Z,3478237,-9.20000000000000051070259132757200859487056732177734375000,3.30000000000000018318679906315082916989922523498535156250,-16.60000000000000092148511043887992855161428451538085937500,4.70000000000000026090241078691178699955344200134277343750,-3.60000000000000019984014443252817727625370025634765625000,-3.50000000000000019428902930940239457413554191589355468750
2022-02-22T11:27:51Z,3478177,-11.00000000000000061062266354383609723299741744995117187500,2.10000000000000011657341758564143674448132514953613281250,-18.30000000000000101585406753201823448762297630310058593750,3.00000000000000016653345369377348106354475021362304687500,-4.20000000000000023314683517128287348896265029907226562500,-4.60000000000000025535129566378600429743528366088867187500
2022-02-22T11:26:51Z,3478117,-12.60000000000000069944050551384862046688795089721679687500,1.30000000000000007216449660063517512753605842590332031250,-19.80000000000000109912079437890497501939535140991210937500,1.00000000000000005551115123125782702118158340454101562500,-4.80000000000000026645352591003756970167160034179687500000,-4.90000000000000027200464103316335240378975868225097656250
2022-02-22T11:25:51Z,3478057,-14.10000000000000078270723236073536099866032600402832031250,-0.60000000000000003330669073875469621270895004272460937500,-21.30000000000000118238752122579171555116772651672363281250,-0.30000000000000001665334536937734810635447502136230468750,-5.40000000000000029976021664879226591438055038452148437500,-6.50000000000000036082248300317587563768029212951660156250
2022-02-22T11:24:51Z,3477997,-14.60000000000000081046280797636427450925111770629882812500,-2.90000000000000016098233857064769836142659187316894531250,-22.70000000000000126010313294955267338082194328308105468750,-0.80000000000000004440892098500626161694526672363281250000,-6.00000000000000033306690738754696212708950042724609375000,-7.50000000000000041633363423443370265886187553405761718750
2022-02-22T09:56:45Z,3472711,-4.90000000000000027200464103316335240378975868225097656250,9.10000000000000050515147620444622589275240898132324218750,-11.10000000000000061617377866696187993511557579040527343750,7.50000000000000041633363423443370265886187553405761718750,-1.30000000000000007216449660063517512753605842590332031250,0.10000000000000000555111512312578270211815834045410156250
2022-02-22T09:55:45Z,3472651,-6.70000000000000037192471324942744104191660881042480468750,7.50000000000000041633363423443370265886187553405761718750,-12.80000000000000071054273576010018587112426757812500000000,6.40000000000000035527136788005009293556213378906250000000,-1.90000000000000010547118733938987134024500846862792968750,-0.50000000000000002775557561562891351059079170227050781250
2022-02-22T09:54:45Z,3472591,-7.60000000000000042188474935755948536098003387451171875000,5.60000000000000031086244689504383131861686706542968750000,-14.50000000000000080491169285323849180713295936584472656250,6.10000000000000033861802251067274482920765876770019531250,-2.40000000000000013322676295501878485083580017089843750000,-2.00000000000000011102230246251565404236316680908203125000
2022-02-22T09:53:45Z,3472531,-9.00000000000000049960036108132044319063425064086914062500,3.60000000000000019984014443252817727625370025634765625000,-16.20000000000000089928064994637679774314165115356445312500,5.30000000000000029420910152566648321226239204406738281250,-3.00000000000000016653345369377348106354475021362304687500,-2.80000000000000015543122344752191565930843353271484375000
2022-02-22T09:52:45Z,3472471,-10.80000000000000059952043329758453182876110076904296875000,2.90000000000000016098233857064769836142659187316894531250,-17.80000000000000098809849191638932097703218460083007812500,3.40000000000000018873791418627661187201738357543945312500,-4.20000000000000023314683517128287348896265029907226562500,-3.90000000000000021649348980190552538260817527770996093750
2022-02-22T08:18:39Z,3466825,-9.40000000000000052180482157382357399910688400268554687500,5.10000000000000028310687127941491780802607536315917968750,-16.20000000000000089928064994637679774314165115356445312500,4.50000000000000024980018054066022159531712532043457031250,-3.60000000000000019984014443252817727625370025634765625000,-2.60000000000000014432899320127035025507211685180664062500
