timestamp,TotalUptime,BootCounter,MCUTemp,Temperature
2022-03-08T10:02:03Z,4490220,12,-3.40000000000000018873791418627661187201738357543945312500,0E-56
2022-03-07T10:11:46Z,4409220,173,-5.60000000000000031086244689504383131861686706542968750000,0E-56
2022-03-06T15:14:20Z,4344960,72,-2.30000000000000012767564783189300214871764183044433593750,0E-56
2022-03-06T15:13:20Z,4344900,72,-3.40000000000000018873791418627661187201738357543945312500,0E-56
2022-03-05T15:29:54Z,4263060,38,-2.80000000000000015543122344752191565930843353271484375000,0E-56
2022-03-05T15:29:54Z,4263060,38,-2.80000000000000015543122344752191565930843353271484375000,0E-56
2022-03-05T13:09:39Z,4255200,34,16.60000000000000092148511043887992855161428451538085937500,0E-56
2022-03-05T13:08:39Z,4255140,34,17.20000000000000095479180117763462476432323455810546875000,0E-56
2022-03-05T03:54:12Z,4223819,12,3.50000000000000019428902930940239457413554191589355468750,0E-56
2022-03-05T02:20:05Z,4218600,2,2.20000000000000012212453270876721944659948348999023437500,0E-56
2022-03-05T02:20:03Z,4218600,2,2.20000000000000012212453270876721944659948348999023437500,0E-56
2022-03-05T02:19:03Z,4218540,2,3.10000000000000017208456881689926376566290855407714843750,0E-56
2022-03-04T18:52:36Z,4193460,201,-4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-03-04T18:51:36Z,4193400,201,-4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-03-04T02:34:23Z,4138020,146,3.20000000000000017763568394002504646778106689453125000000,0E-56
2022-03-03T02:47:52Z,4056120,113,2.60000000000000014432899320127035025507211685180664062500,0E-56
2022-02-26T15:27:43Z,3687419,225,-3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-02-24T20:14:41Z,3538620,157,1.10000000000000006106226635438360972329974174499511718750,0E-56
2022-02-24T02:23:43Z,3478020,58,19.30000000000000107136521876327606150880455970764160156250,0E-56
2022-02-23T08:11:16Z,3415740,225,-3.90000000000000021649348980190552538260817527770996093750,0E-56
2022-02-22T20:41:23Z,3376079,209,2.00000000000000011102230246251565404236316680908203125000,0E-56
2022-02-22T13:27:56Z,3350460,205,10.00000000000000055511151231257827021181583404541015625000,0E-56
2022-02-22T08:23:39Z,3332400,202,-1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-21T20:54:37Z,3291600,194,2.90000000000000016098233857064769836142659187316894531250,0E-56
2022-02-19T15:26:04Z,3103920,121,-3.70000000000000020539125955565395997837185859680175781250,0E-56
2022-02-19T15:25:01Z,3103860,121,-4.60000000000000025535129566378600429743528366088867187500,0E-56
2022-02-19T15:24:01Z,3103800,121,-4.60000000000000025535129566378600429743528366088867187500,0E-56
2022-02-18T19:54:41Z,3037260,243,4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-18T18:47:39Z,3033240,241,-5.00000000000000027755575615628913510590791702270507812500,0E-56
2022-02-18T18:45:38Z,3033120,240,-6.20000000000000034416913763379852753132581710815429687500,0E-56
2022-02-18T02:31:15Z,2977260,159,3.60000000000000019984014443252817727625370025634765625000,0E-56
2022-02-18T02:30:15Z,2977199,159,4.00000000000000022204460492503130808472633361816406250000,0E-56
2022-02-17T20:12:50Z,2955540,148,1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-02-17T20:11:50Z,2955480,148,2.20000000000000012212453270876721944659948348999023437500,0E-56
2022-02-17T20:08:50Z,2955300,148,4.70000000000000026090241078691178699955344200134277343750,0E-56
2022-02-17T15:49:38Z,2940240,140,-4.90000000000000027200464103316335240378975868225097656250,0E-56
2022-02-17T09:24:06Z,2917860,125,-5.20000000000000028865798640254070051014423370361328125000,0E-56
